titulo,empresa,ubicacion,url
Técnico en Farmacia Lambayeque,Grupo Intercorp,"Cayalti, Lambayeque",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-farmacia-lambayeque-urgente-en-cayalti-7266B17329EF88A161373E686DCF3405
Técnico de Farmacia,CLINICA MONTEFIORI,"La Molina, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-farmacia-en-la-molina-FE5E98A6CE4CF85161373E686DCF3405
Técnico en farmacia o enfermería Inkafarma y Mifarma / San Isidro y Miraflores + bono de movilidad,Grupo Intercorp,"Rimac, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-farmacia-o-enfermeria-inkafarma-y-mifarma-san-isidro-y-miraflores-bono-de-movilidad-en-rimac-FB52955F70F1321261373E686DCF3405
Técnico en farmacia o enfermería Inkafarma y Mifarma / Santiago de Surco ¡Urgente!,Grupo Intercorp,"San Juan De Miraflores, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-farmacia-o-enfermeria-inkafarma-y-mifarma-santiago-de-surco-urgente-en-san-juan-de-miraflores-35AD4E3AAE1C5FCB61373E686DCF3405
Técnico en farmacia o enfermería Inkafarma y Mifarma / Lince ¡Urgente!,Grupo Intercorp,"El Agustino, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-farmacia-o-enfermeria-inkafarma-y-mifarma-lince-urgente-en-el-agustino-6AA81C051C76FFED61373E686DCF3405
Técnicas de Farmacia,GRUPO INTI S.A.C,"San Juan De Miraflores, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnicas-de-farmacia-12-horas-en-san-juan-de-miraflores-7D5CF59460DDE4E961373E686DCF3405
técnico/a en farmacia,FARMACIA QUEEN,"San Isidro, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnicoa-en-farmacia-en-san-isidro-12F7FA02A5D9436C61373E686DCF3405
Técnico en farmacia,Botica Pacifico,"Trujillo, La Libertad",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-farmacia-choferalmacen-en-trujillo-8074639A6CFD980261373E686DCF3405
Técnico en Farmacia (Control de Calidad),VITALINE,"Paita, Piura",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-farmacia-control-de-calidad-paita-en-paita-A22573D51D1855BA61373E686DCF3405
Técnico(a) en Farmacia / Lince / Cercado de Lima.,BOTICAS PERU,"Lince, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnicoa-en-farmacia-lince-cercado-de-lima-en-lince-601C3479B3D7EC4361373E686DCF3405
Operador call center tecnico en farmacia,Grupo Intercorp,"Punta Hermosa, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operador-call-center-tecnico-en-farmacia-en-punta-hermosa-AF1A5282DB714A0761373E686DCF3405
Técnico en farmacia Inkafarma y Mifarma / Santiago de Surco ¡Urgente!,Grupo Intercorp,"Villa El Salvador, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-farmacia-inkafarma-y-mifarma-santiago-de-surco-urgente-en-villa-el-salvador-45DFE9485035D3BB61373E686DCF3405
Técnico en farmacia Inkafarma y Mifarma / Lince ¡Urgente!,Grupo Intercorp,"Rimac, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-farmacia-inkafarma-y-mifarma-lince-urgente-en-rimac-4272F193160B92A161373E686DCF3405
Técnico(a) Titulado de Farmacia /Hospitalario I,Grupo AUNA,"Miraflores, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnicoa-titulado-de-farmacia-hospitalario-i-en-miraflores-2CD5A2AA9EE4C1F061373E686DCF3405
"¡Urgente! Técnicos de Farmacia Inkafarma / Villa María del Triunfo, San Juan de Miraflores y Surco",Grupo Intercorp,"San Juan De Miraflores, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-urgente-tecnicos-de-farmacia-inkafarma-villa-maria-del-triunfo-san-juan-de-miraflores-y-surco-beneficios-intercorp-comisiones-en-san-juan-de-miraflores-14FC15C64361471761373E686DCF3405
"¡Urgente! Técnicos de Farmacia Inkafarma y Mifarma / Los Olivos, SMP e Independencia",Grupo Intercorp,"Los Olivos, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-urgente-tecnicos-de-farmacia-inkafarma-y-mifarma-los-olivos-smp-e-independencia-beneficios-intercorp-comisiones-en-los-olivos-80451B661D69A33C61373E686DCF3405
"¡Planilla Completa+Comisiones! Técnicos de Farmacia Mifarma / Ate, Chosica, Chaclacayo y Santa Anita",Grupo Intercorp,"Ate, Lima",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-planilla-completacomisiones-tecnicos-de-farmacia-mifarma-ate-chosica-chaclacayo-y-santa-anita-beneficios-intercorp-comisiones-en-ate-98B7FF7A86E8340961373E686DCF3405
