id_oferta,titulo,empresa,ubicacion,fecha_publicacion,fecha_relativa,tipo_contrato,salario,descripcion,url,detalle_disponible,fuente,termino_busqueda,fecha_extraccion_utc,habilidades_requeridas,nivel_experiencia,distrito,departamento,cantidad_habilidades
AB93E3EC221EBFA9,Únete a la planilla del BCP/ Cajero/ Experiencia en manejo de efectivo/Disponibilidad inmediata,MANPOWER PERU S.A.C.,"Lima, Perú",2026-05-23,Hace 3 horas,FULL_TIME,,"Auxiliar de recaudación ¿Cuál es el reto? Depuración de billetes para ATM para uso propio de la oficina y para el envío a otras oficinas también para ATM. ¿Cómo impactarás en grande? Recuento, verificación, depuración y entubado de remesas de monedas recibidas de otras oficinas, así como su embalaje y preparación para el envío de estas a otros bancos y BCRP. Hacer seguimiento, según sea necesario, para concretar las transacciones de nuestros clientes. Otras funciones que asigne el jefe inmediato. ¿Qué necesitamos de ti? Técnica o Superior completa o en curso desde 2do ciclo; trunco (máximo 1 año) en computación, Informática, Contabilidad u otras carreras afines. Experiencia en manejo de efectivo o verificación de billetes y monedas Office nivel básico Experiencia mínima 6 meses en puestos operativos y administrativos Horarios Jornada completa: Lunes a Viernes: 8:30 a.m. 7:30 p.m.Sábados: 8:00 a.m. - 2:00 p.m Jornada Reducida: Lunes a Viernes: Turno mañana 8:30am 3:00pm. Turno tarde 1:30pm 8:00pm. Sábados de 8:30 am a 3:30 pm ¿Por qué unirte a nuestro equipo? Ser parte de la empresa 1 en Merco Talento 2025 Ingreso a planilla desde tu primer día. Accede a incentivos por tu esfuerzo/desempeño Tendrás el acompañamiento de líderes expertos y referentes en la banca. Accede a descuentos en productos financieros y beneficios corporativos exclusivos por provincia para disfrutar con tu familia. Sé parte de una cultura constante de reconocimiento, donde tu talento puede impactar en grande. ¿Qué esperas? ¡Postula hoy! Somos una organización comprometida con la igualdad de derechos y oportunidades. Nuestros procesos de selección se rigen bajo una política donde nuestras/os postulantes son consideradas/os sin importar su origen, género, raza o cualquier o. -Requerimientos- Educación mínima: Universitario 1 año de experiencia Palabras clave: cashier, cajero",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-unete-a-la-planilla-del-bcp-cajero-experiencia-en-manejo-de-efectivodisponibilidad-inmediata-en-lima-7FC0F1E1206BB5E861373E686DCF3405,True,Computrabajo Perú,Cajero,2026-07-19T06:23:18.206030+00:00,Finanzas | Organización,No especificado,Lima,Perú,2
CFC3321ABF2C290B,Plaza Vea Jaén - Cajeros Part Time,Grupo Intercorp,"Jaen, Cajamarca, Perú",2026-05-27,Hace 3 horas,FULL_TIME,,"En Plaza Vea nos inspira brindar experiencias memorables a cada cliente. Trabajamos día a día para ofrecer productos de calidad, a precios justos y siempre disponibles cuando nuestros clientes los necesitan. Pero nuestro compromiso no se queda ahí. Nos sentimos profundamente orgullosos de nuestros equipos: valoramos a cada colaborador y reconocemos su aporte como pieza clave de nuestro éxito. Gracias a ello, hoy celebramos estar en el Top 3 del ranking de Mejores Lugares para Trabajar en el Perú, según Great Place to Work (GPTW). · Somos parte de la gran familia Intercorp, y compartimos el propósito de generar bienestar para todos los peruanos. ¡No lo pienses más! Únete a un equipo que crece contigo, que inspira con su vocación de servicio y que lidera con el ejemplo. · ¿Qué necesitamos de ti? · Ser mayor de 18 años. · Secundaria completa o incompleta. · Con o sin experiencia. · Disponibilidad de trabajar en horario part time turno tarde/mañana · Disponibilidad en trabajar en la tienda de PlazaVea Jaén · ¿Qué te ofrecemos? · Beneficios y Descuentos por pertenecer al Club Intercorp · Oportunidad de Línea de Carrera. · Capacitaciones Constantes. · Pertenecer a una de las mejores empresas para trabajar en el Perú. · PlazaVea fomenta y respeta la equidad de género, inclusión y diversidad en sus procesos de atracción del talento y crecimiento. Recuerda utilizar nuestros canales de reclutamiento oficiales y que participar en el proceso de selección no tiene costo. En Intercorp nos comprometemos con la igualdad de oportunidades. Todos los/las postulantes serán considerados sin importar su origen étnico, sexo, edad, estado civil, orientación sexual, religión, capacidades diferentes, nacionalidad o condición económica.-Requerimientos- Educación mínima: Educación Secundaria años de experiencia Edad: A partir de 18 años Conocimientos: Comunicación, Microsoft excel, Organización, Servicio al cliente, Atención al cliente",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-plaza-vea-jaen-cajeros-part-time-en-jaen-06811878D567F73B61373E686DCF3405,True,Computrabajo Perú,Cajero,2026-07-19T06:23:18.206030+00:00,Excel | Atención al cliente | Organización,Liderazgo / Senior,Jaen,Cajamarca,3
AB93E3EC221EBFA9,Asesor de ventas / Cajero Bancario BCP / Moquegua,MANPOWER PERU S.A.C.,"Moquegua, Perú",2026-06-03,Hace 3 horas,FULL_TIME,,"En Manpower, junto a nuestro socio estratégico, estamos en la búsqueda de Promotor de Servicios que quiera marcar la diferencia. Si eres una persona comprometida, orientada al cliente y con ganas de crecer profesionalmente, ¡queremos conocerte! Atrévete a asumir nuevos desafíos y sé parte de un equipo que genera impacto. ¿Cuál es el reto? Brinda atención cordial y eficiente, identifica necesidades y promueve los productos y servicios del banco, generando confianza y fidelización. ¿Cómo impactarás en grande? Atender de forma cordial y eficiente, identificando necesidades del cliente y promoviendo productos y servicios del banco. Declararse en el terminal y generar el vale para el recojo de efectivo, gestionando la firma del Supervisor de Agencia. Retirar, contar y verificar el efectivo asignado desde bóveda, asegurando la exactitud antes de iniciar operaciones Preparar y mantener los materiales y herramientas de trabajo (sellos, formularios, terminal activa), garantizando una atención continua y de calidad al público. ¿Qué necesitamos de ti? Estudiantes técnicos y/o universitarios (truncos o concluidos), en carreras afines como Economía, Ingeniería Industrial, Ingeniería de Sistemas, Administración, Comunicaciones y Contabilidad. Experiencia mínima de 6 meses en atención al cliente y/o ventas Manejo de Office a nivel usuario. ¿Por qué unirte a nuestro equipo? Ingreso a planilla completa desde el primer día. Accede a incentivos por tu esfuerzo/desempeño. Acceso a descuentos en productos financieros. Beneficios corporativos exclusivos por provincia para disfrutar con tu familia. Formarás parte de una cultura constante de reconocimientos. · Sí, a ti. Te estamos buscando ¡Únete al equipo BCP! Somos una organización comprometida con la igualdad de derechos y oportunidades. Nuestros procesos de selección se rigen bajo una política donde nuestras/os postulantes son consideradas/os sin importar su origen, género, raza o cualquier otra característica, condición o preferencia, promoviendo así una cultura de respeto mutuo.-Requerimientos- Educación mínima: Técnico años de experiencia Palabras clave: advisor, asesor, cambaceo, sales, cashier, cajero, banker, bancario, banking, banquero",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-cajero-bancario-bcp-moquegua-en-moquegua-209DCE9EC7968EC661373E686DCF3405,True,Computrabajo Perú,Cajero,2026-07-19T06:23:18.206030+00:00,Ventas | Finanzas | Atención al cliente | Organización,No especificado,Moquegua,Perú,4
AB93E3EC221EBFA9,Asesor de ventas / Cajero Bancario BCP / Sicuani,MANPOWER PERU S.A.C.,"Sicuani, Cusco, Perú",2026-06-03,Hace 3 horas,FULL_TIME,,"En Manpower, junto a nuestro socio estratégico, estamos en la búsqueda de Promotor de Servicios que quiera marcar la diferencia. Si eres una persona comprometida, orientada al cliente y con ganas de crecer profesionalmente, ¡queremos conocerte! Atrévete a asumir nuevos desafíos y sé parte de un equipo que genera impacto. ¿Cuál es el reto? Brinda atención cordial y eficiente, identifica necesidades y promueve los productos y servicios del banco, generando confianza y fidelización. ¿Cómo impactarás en grande? Atender de forma cordial y eficiente, identificando necesidades del cliente y promoviendo productos y servicios del banco. Declararse en el terminal y generar el vale para el recojo de efectivo, gestionando la firma del Supervisor de Agencia. Retirar, contar y verificar el efectivo asignado desde bóveda, asegurando la exactitud antes de iniciar operaciones Preparar y mantener los materiales y herramientas de trabajo (sellos, formularios, terminal activa), garantizando una atención continua y de calidad al público. ¿Qué necesitamos de ti? Estudiantes técnicos y/o universitarios (truncos o concluidos), en carreras afines como Economía, Ingeniería Industrial, Ingeniería de Sistemas, Administración, Comunicaciones y Contabilidad. Experiencia mínima de 6 meses en atención al cliente y/o ventas Manejo de Office a nivel usuario. ¿Por qué unirte a nuestro equipo? Ingreso a planilla completa desde el primer día. Accede a incentivos por tu esfuerzo/desempeño. Acceso a descuentos en productos financieros. Beneficios corporativos exclusivos por provincia para disfrutar con tu familia. Formarás parte de una cultura constante de reconocimientos. · Sí, a ti. Te estamos buscando ¡Únete al equipo BCP! Somos una organización comprometida con la igualdad de derechos y oportunidades. Nuestros procesos de selección se rigen bajo una política donde nuestras/os postulantes son consideradas/os sin importar su origen, género, raza o cualquier otra característica, condición o preferencia, promoviendo así una cultura de respeto mutuo.-Requerimientos- Educación mínima: Técnico años de experiencia Palabras clave: advisor, asesor, cambaceo, sales, cashier, cajero, banker, bancario, banking, banquero",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-cajero-bancario-bcp-sicuani-en-sicuani-E409E2EF8A369D4261373E686DCF3405,True,Computrabajo Perú,Cajero,2026-07-19T06:23:18.206030+00:00,Ventas | Finanzas | Atención al cliente | Organización,No especificado,Sicuani,Cusco,4
CFC3321ABF2C290B,Cajeros/as plazaVea y Vivanda,Grupo Intercorp,"Punta Hermosa, Lima, Perú",2026-06-16,Hace 3 horas,FULL_TIME,,"Cajeros/as Part time mañana / Part time tarde ¿Cuál será tu desafío? Registrar las transacciones de compra de los clientes de forma correcta, asegurando brindar una buena experiencia de compra. ¿Cómo lo lograrás? Atender al cliente de forma correcta, según los protocolos establecidos. Realizar el cobro de los productos con el medio de pago correspondiente. Limpiar y ordenar el área de cajas. Dar a conocer las promociones vigentes. Cumplir otra función asignada por el jefe inmediato. ¿Qué necesitamos de ti? Ser mayor de 18 años. Secundaria completa o incompleta. Con o sin experiencia. Disponibilidad de trabajar en horario part time turno tarde/mañana Disponibilidad en trabajar en las tienda de plazaVea Lima Moderna ¿Qué te ofrecemos? Beneficios y Descuentos por pertenecer al Club Intercorp Oportunidad de Línea de Carrera. Capacitaciones Constantes. Pertenecer a una de las mejores empresas para trabajar en el Perú. plazaVea y Vivanda fomenta y respeta la equidad de género, inclusión y diversidad en sus procesos de atracción del talento y crecimiento. Recuerda utilizar nuestros canales de reclutamiento oficiales y que participar en el proceso de selección no tiene costo. En Intercorp nos comprometemos con la igualdad de oportunidades. Todos los/las postulantes serán considerados sin importar su origen étnico, sexo, edad, estado civil, orientación sexual, religión, capacidades diferentes, nacionalidad o condición económica.-Requerimientos- Educación mínima: Educación Secundaria años de experiencia Idiomas: Español Conocimientos: Compras",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajerosas-plazavea-y-vivanda-en-punta-hermosa-3B2BC4FA3D8BB58261373E686DCF3405,True,Computrabajo Perú,Cajero,2026-07-19T06:23:18.206030+00:00,No detallado,No especificado,Punta Hermosa,Lima,0
AB93E3EC221EBFA9,¡Únete al BCP!Cajero Juanjui. Planilla + Movilidad + Bono,MANPOWER PERU S.A.C.,"Juanjui, San Martin, Perú",2026-06-05,Hace 4 horas,FULL_TIME,,"Buscamos a los que tienen ganas de transformar el país. A los que quieren llegar lejos. Por qué esto no es solo un trabajo. Esto es desafiarte en grande para impactar en grande. Esto es el BCP y te estamos buscando para que formes parte de nuestro equipo como PROMOTOR DE SERVICIOS ¿Cuál es el reto? Brinda atención cordial y eficiente, identifica necesidades y promueve los productos y servicios del banco, generando confianza y fidelización. ¿Cómo impactarás en grande? Atender de forma cordial y eficiente, identificando necesidades del cliente y promoviendo productos y servicios del banco. Declararse en el terminal y generar el vale para el recojo de efectivo, gestionando la firma del Supervisor de Agencia. Retirar, contar y verificar el efectivo asignado desde bóveda, asegurando la exactitud antes de iniciar operaciones Preparar y mantener los materiales y herramientas de trabajo (sellos, formularios, terminal activa), garantizando una atención continua y de calidad al público. ¿Qué necesitamos de ti? Estudiantes técnicos y/o universitarios (truncos o concluidos), en carreras afines como Economía, Ingeniería Industrial, Ingeniería de Sistemas, Administración, Comunicaciones y Contabilidad. Experiencia mínima de 6 meses en atención al cliente y/o ventas Manejo de Office a nivel usuario. ¿Por qué unirte a nuestro equipo? Ser parte de la empresa 1 en Merco Talento 2024 Ingreso a planilla completa desde el primer día. Accede a incentivos por tu esfuerzo/desempeño. Acceso a descuentos en productos financieros. Beneficios corporativos exclusivos por provincia para disfrutar con tu familia. Formarás parte de una cultura constante de reconocimientos. Sí, a ti. Te estamos buscando ¡Únete al equipo BCP! Somos una organización comprometida con la igualdad de derechos y oportunidades. Nuestros procesos de selección se rigen bajo una política donde nuestras/os postulantes son consideradas/os sin importar su origen, género, raza o cualquier otra característica, condición o preferencia, promoviendo así una cultura de respeto mutuo.-Requerimientos- Educación mínima: Universitario años de experiencia Edad: A partir de 18 años",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-unete-al-bcpcajero-juanjui-planilla-movilidad-bono-en-juanjui-ECABE5DF6352B5A161373E686DCF3405,True,Computrabajo Perú,Cajero,2026-07-19T06:23:18.206030+00:00,Ventas | Finanzas | Atención al cliente | Organización,Liderazgo / Senior,Juanjui,San Martin,4
CFC3321ABF2C290B,Plaza Vea Chiclayo busca Cajeros y Cajeras Part Time - Disponibilidad Inmediata,Grupo Intercorp,"Chiclayo, Lambayeque, Perú",2026-06-24,Hace 4 horas,PART_TIME,,"En Plaza Vea nos inspira brindar experiencias memorables a cada cliente. Trabajamos día a día para ofrecer productos de calidad, a precios justos y siempre disponibles cuando nuestros clientes los necesitan. Pero nuestro compromiso no se queda ahí. Nos sentimos profundamente orgullosos de nuestros equipos: valoramos a cada colaborador y reconocemos su aporte como pieza clave de nuestro éxito. Gracias a ello, hoy celebramos estar en el Top del ranking de Mejores Lugares para Trabajar en el Perú, según Great Place to Work (GPTW). Somos parte de la gran familia Intercorp, y compartimos el propósito de generar bienestar para todos los peruanos. ¡No lo pienses más! Únete a un equipo que crece contigo, que inspira con su vocación de servicio y que lidera con el ejemplo. Actulamente nos encontramos en búsqueda de Cajeros y Reponedores para nuestras tiendas Plaza Vea Chiclayo Mall y Plaza Vea Chiclayo Real: Cajeros(as) Part time ¿Cuál será tu desafío? Registrar las transacciones de compra de los clientes de forma correcta, asegurando brindar una buena experiencia de compra. ¿Cómo lo lograrás? Atender al cliente de forma correcta, según los protocolos establecidos. Realizar el cobro de los productos con el medio de pago correspondiente. Limpiar y ordenar el área de cajas. Dar a conocer las promociones vigentes. Cumplir otra función asignada por el jefe inmediato. Reponedores (as) Part time ¿Cuál será tu desafío? Realizar las actividades operativas de la tienda, asegurando la disponibilidad de la mercadería y una eficiente atención al cliente. ¿Cómo lo lograrás? Reponer y almacenar los productos en almacenes, góndolas, mostradores, islas y vitrinas de la tienda. Mantener actualizados los precios y promociones de cada producto. Organización y limpieza de cámaras de frío (cámaras de frío de -18°C). Brindar una adecuada atención al cliente. Apoyo en actividades afines asignadas por su jefe inmediato. ¿Qué necesitamos de ti? Ser mayor de 18 años. Secundaria completa o incompleta. Con o sin experiencia. Disponibilidad de trabajar en horario part time turno tarde/mañana Disponibilidad en trabajar en la tienda de plazaVea Chiclayo Mall / Chiclayo Real ¿Qué te ofrecemos? Beneficios y Descuentos por pertenecer al Club Intercorp Oportunidad de Línea de Carrera. Capacitaciones Constantes. Pertenecer a una de las mejores empresas para trabajar en el Perú. plazaVea fomenta y respeta la equidad de género, inclusión y diversidad en sus procesos de atracción del talento y crecimiento. Recuerda utilizar nuestros canales de reclutamiento oficiales y que participar en el proceso de selección no tiene costo. En Intercorp nos comprometemos con la igualdad de oportunidades. Todos los/las postulantes serán considerados sin importar su origen étnico, sexo, edad, estado civil, orientación sexual, religión, capacidades diferentes, nacionalidad o condición económica.-Requerimientos- Educación mínima: Educación Secundaria años de experiencia Edad: A partir de 18 años",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-plaza-vea-chiclayo-busca-cajeros-y-cajeras-part-time-disponibilidad-inmediata-en-chiclayo-1B77C4DB45953D0161373E686DCF3405,True,Computrabajo Perú,Cajero,2026-07-19T06:23:18.206030+00:00,Atención al cliente | Organización,Liderazgo / Senior,Chiclayo,Lambayeque,2
7843C7FBE1ECC988,Cajero Senior / Banco Falabella La Marina / Full time - Disponiblidad para laborar en Tottus La Marina,FALABELLA CORPORATIVO PERÚ,"San Miguel, Lima, Perú",2026-07-02,Hace 4 horas,FULL_TIME,,"¡EN BANCO FALABELLA BUSCAMOS TALENTOS COMO TÚ! · Somos BANCO FALABELLA organización con respaldo financiero del Grupo Falabella, quien cuenta con más de 100 años de posicionamiento en el mercado nacional e internacional brindando una experiencia de calidad, gracias al talento, innovador, apasionado y empoderado del gran equipo que nos acompaña en todas nuestras s ¡Suma tu Talento con nosotros! Tú puedes ser nuestro próximo: (01) Banco Falabella/ Cajero Bancario Senior LA MARINA (SAN MIGUEL) · ¿QUÉ TE ACERCA AL PUESTO? Estudios Técnico o Universitarios completo en Administración o afines. Microsoft Office Nivel básico-intermedio. Experiencia de 01 año desempeñando el puesto de cajero en el sector financiero. Disponibilidad para trabajar de Lunes a Domingo de 10:00am a las 08:00pm (con 1 día de descanso). · ¿CUÁLES SERÁN TUS OBJETIVOS DIARIOS? - Atender a los clientes asignados cumpliendo con el protocolo, normas y procedimientos establecidos de atención para lograr los estándares de calidad de servicio solicitados. - Atender el desembolso de Supercash; créditos de consumo; y de otros créditos que se puedan definir según el lineamiento de Riegos y Comercial. - Efectuar el cuadre de caja diario, contrastando los montos que figuran en el sistema contra los comprobantes, cheques o efectivo recibido y analizar las diferencias si hubiere. - Entregar al Jefe, de acuerdo a los procedimientos, el dinero recabado durante el día para su custodia en la bóveda de la oficina. - Solicitar, registrar y controlar cheques para la cancelación de los productos pasivos del banco. · Ahora revisa nuestros beneficios... ¿QUÉ OFRECEMOS? Formar parte de una empresa de prestigio a nivel nacional e internacional. Salario competitivo acorde al mercado. Planilla completa desde el primer día de labor. Comisiones altamente competitivas. Laborar en un ambiente super dinámico. Programas y Planes de Incentivos. Aprender en un ambiente dinámico. Trabajar junto con un equipo dispuesto a compartir conocimiento y desafíos. Oportunidad de crecimiento laboral en Grupo Falabella. Capacitaciones constantes. · En BANCO FALABELLA promovemos la inclusión laboral, por lo que invita a cualquier persona a participar en el proceso de selección en referencia y sumarse a nuestro gran equipo¡POSTULA Y FORMA PARTE DE NUESTRA FAMILIA CORPORATIVA!. -Requerimientos- Educación mínima: Educación Secundaria años de experiencia Palabras clave: cashier, cajero, senior, sr, bank, caja, ahorro, savings, bancaria, afores, banco",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajero-senior-banco-falabella-la-marina-full-time-disponiblidad-para-laborar-en-tottus-la-marina-en-san-miguel-1B9801ADD66F438D61373E686DCF3405,True,Computrabajo Perú,Cajero,2026-07-19T06:23:18.206030+00:00,Organización,Liderazgo / Senior,San Miguel,Lima,1
E19C474C64EF6972,Cajero/a Multifuncional / Básico 1130 + Bono de 200 soles por sede Miraflores + bonos adicionales - Planilla completa/ bono movilidad/Miraflores,Eurofirms Perú,"Miraflores, Lima, Perú",2026-06-08,Hace 5 horas,FULL_TIME,,"ÚNETE AL EQUIPO Somos Eurofirms, empresa dedicada al Reclutamiento y Selección del mejor talento, por encargo de nuestro importante cliente, líder en el rubro de retail de conveniencia, nos encontramos en búsqueda de la persona idónea para ocupar el cargo de COLABORADOR MULTIFUNCIONAL - MIRAFLORES REQUISITOS: 3 meses de experiencia en Atención al Cliente Disponibilidad de poder trabajar de Lunes a Domingo. Con 1 día de descanso entre lunes a jueves. Contar con disponibilidad para desempeñar funciones operativas propias de tienda (trabajo de pie, carga ligera, desplazamiento constante, entre otros). Disponibilidad para laborar en MIRAFLORES Experiencia en cargos similares: atención al Cliente; cajero, reponedor y promoción de productos, y conocimientos básicos de ventas. FUNCIONES: Atención al cliente y promoción de ventas, brindando un servicio ágil y de calidad. Manejo de caja, recepción y reposición de mercadería en tienda y almacén. Manipulación de alimentos, limpieza integral del local y apoyo en inventarios. HORARIOS: TURNO CIERRE Lunes a Domingo de 2:15 pm a 11:15 pm, con 1 día de descanso entre lunes a jueves. (Amanecida solo tiendas 24h). TURNO ROTATIVO Lunes a Domingo con 1 día de descanso entre lunes a jueves. 6AM A 3PM - 7AM A 4PM (Depende de apertura de tienda) y 2:15 pm a 11:15pm. (Amanecida solo tiendas 24h). BENEFICIOS: Sueldo base 1130 Bonos de movilidad de 200 soles desde el 1er mes + 50 soles (Turno cierre) Movilidad de acercamiento (Turno cierre) Bono objetivos de hasta 150 soles Bonos de permanencia de 50 soles al 4to y 7mo mes Ingreso a planilla con todos los beneficios de ley desde el 1er día Línea de Carrera en 4 meses Descuentos corporativos, convenios educativos, entre otros Eurofirms promueve la inclusión e inserción laboral sin distinción por razón de discapacidad, género, orientación, identidad y expresión de género.-Requerimientos- Educación mínima: Educación Secundaria años de experiencia Edad: A partir de 18 años Palabras clave: cashier, cajero, polivalente, multiusos, versatil, multifuncion, plurifuncional, multifuntion, polifacetico",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajeroa-multifuncional-basico-1130-bono-de-200-soles-por-sede-miraflores-bonos-adicionales-planilla-completa-bono-movilidadmiraflores-en-miraflores-4B12DAFB2B462FBC61373E686DCF3405,True,Computrabajo Perú,Cajero,2026-07-19T06:23:18.206030+00:00,Ventas | Logística | Atención al cliente,Liderazgo / Senior,Miraflores,Lima,3
AB93E3EC221EBFA9,Cajero Bancario /Mibanco Yunguyo,MANPOWER PERU S.A.C.,"Yunguyo, Puno, Perú",2026-06-23,Hace 5 horas,FULL_TIME,,"¡Únete a una gran oportunidad en el mundo de las microfinanzas! En Manpower Perú estamos en la búsqueda del mejor talento para un nuevo reto como Representante de Banca de Servicios II (Caja) para la AGENCIA Yunguyo de MIBANCO, la entidad líder en microfinanzas en Latinoamérica y miembro del prestigioso Grupo Credicorp con más de 300 agencias a nivel nacional. Requisitos: - Estudiantes del III ciclo en adelante técnico y/o universitario en carreras como Administración, Ingeniería Industrial, Economía, Contabilidad, ¡y más! - Experiencia mínima de 6 meses en Atención al cliente, ventas, comercial, caja en entidades retail, financieras (bancos, financieras o cajas). · Funciones: - Realizarás el depósito de efectivo en la bóveda del banco. - Realizarás transacciones de cambios de divisas, transferencias de dinero, pago de servicios, entre otros. - Realizarás manejo de caja y cuadre de efectivo diario realizando el conteo y la oportuna detección de billetes y monedas falsas. - Gestionar la atención al cliente. · Beneficios: - Contrato a plazo indeterminado - Crecimiento y línea de carrera en la entidad de microfinanzas más grande de Latinoamérica - Ingreso a planilla desde el primer día con beneficios de ley - Sistema remunerativo atractivo: S/1370 Básico + S/ 125 Riesgo de caja + Bonos - Cobertura del 70% de EPS - Descuentos Credicorp en establecimientos de bienestar, familia, educación y más - Programas de capacitación continua · En Manpower Perú, promovemos un entorno laboral inclusivo, donde todas las personas son bienvenidas sin distinción alguna. ¡Únete a nosotros y forma parte de una institución que transforma vidas a través de las microfinanzas!. -Requerimientos- Educación mínima: Técnico años de experiencia Palabras clave: cashier, cajero, banker, bancario, banking, banquero",https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-cajero-bancario-mibanco-yunguyo-en-yunguyo-4EF710406D02088861373E686DCF3405,True,Computrabajo Perú,Cajero,2026-07-19T06:23:18.206030+00:00,Ventas | Finanzas | Atención al cliente,No especificado,Yunguyo,Puno,3
